Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,xAG,xG+xAG,npxG,npxG+xAG
128,Achraf Dari,ma MAR,DF,eg Al Ahly,26-047,1999,2,2,151,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
129,Matteo Darmian,it ITA,MF,it Inter,35-202,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
130,Nasser Al-Dawsari,sa KSA,MF,sa Al-Hilal,26-185,1998,1,1,75,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
131,Salem Al-Dawsari,sa KSA,MF,sa Al-Hilal,33-307,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
132,Giorgian De Arrascaeta,uy URU,MF,br Flamengo,31-021,1994,2,2,127,1.4,1,0,1,1,0,0,0,0,0.71,0,0.71,0.71,0.71,Matches,,,,
133,Pedro De la Vega,ar ARG,MF,us Seattle Sounders,24-135,2001,2,1,79,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
134,Rodrigo De Paul,ar ARG,MF,es Atlético Madrid,31-029,1994,2,2,126,1.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,,,,
135,Osaze De Rosario,gy GUY,FW,us Seattle Sounders,23-338,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
136,Liam Delap,eng ENG,FW,eng Chelsea,22-134,2003,2,1,90,1,0,1,1,0,0,0,1,0,0,1,1,0,1,Matches,,,,
137,Marky Delgado,us USA,MF,us LAFC,30-037,1995,2,2,166,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
138,Michael den Heijer,nz NZL,DF,nz Auckland City,29-069,1996,2,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
139,Nelson Deossa,co COL,MF,mx Monterrey,25-136,2000,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
140,Michele Di Gregorio,it ITA,GK,it Juventus,27-330,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,,,,
